Feature,LR_weight,XGB_weight,LGB_weight,Ensemble_weight,LR_coef
vote_share_bracket,0.5822756782327974,0.55620265,0.10366666666666667,0.41404833165655147,6.472375830969287
margin_to_turnout_ratio,0.0993863086242745,0.042368658,0.21516666666666667,0.11897387772597438,-1.1047439656441003
vote_efficiency,0.03834608184940511,0.14867629,0.11716666666666667,0.10139634654140106,0.4262418346713629
competition_level,0.1259924012814506,0.027097028,0.08366666666666667,0.0789186985656468,1.4004881251691483
deposit_forfeiture_indicator,0.020780522348402764,0.12539344,0.0021666666666666666,0.04944687479135687,-0.23098912702471752
net_assets,0.006047519158787416,0.0039495653,0.09166666666666666,0.03388791705757938,0.06722213945025923
TCPD_Prof_Main_,0.034055441462931234,0.004077227,0.06,0.03271088943926401,0.37854855436627105
asset_liability_ratio,0.001017302516715328,0.0038258021,0.09016666666666667,0.031669923768852026,-0.011307984290114979
Party_,0.017035741700318706,0.0032005548,0.051666666666666666,0.0239676543738568,0.18936343550948576
party_win_rate_target_encoded,0.002740979140050302,0.008903069,0.050166666666666665,0.020603571742788648,0.03046777978619216
times_contested,0.0009548681301183252,0.0045217616,0.04783333333333333,0.017769987672892104,0.010613985158881694
education_level,0.01057250859058946,0.002930435,0.025833333333333333,0.013112092270096307,-0.11752036300421936
is_repeat_candidate,0.0224687961953181,0.002527465,0.0026666666666666666,0.009220975991497371,0.24975539745523967
incumbent_medium,0.001338676986799045,0.01912249,0.0065,0.00898705588205172,0.014880272178170633
incumbent_strongest,0.012299612965503836,0.0028407893,0.009333333333333334,0.008157911855543489,0.1367182602059086
incumbent_strong,0.00542242513552086,0.0063043647,0.009,0.006908929928987478,-0.06027380964786578
asset_tier,0.005739091667360077,0.0028128056,0.0075,0.005350632417641087,0.06379376571639588
is_other_gender,0.001168466726339596,0.013946916,0.0,0.005038460901014254,0.012988273564516924
turncoat_risk,0.0028459268949413566,0.0034279502,0.005666666666666667,0.003980181253767155,0.03163434287248301
criminal_severity,0.001426089165644434,0.004951376,0.004333333333333333,0.003570266167086557,-0.015851915842574324
is_female,0.000814984844454982,0.002091094,0.0075,0.003468692921542081,-0.00905909074867413
has_criminal_case,0.0036042043058538806,0.0024076307,0.003833333333333333,0.003281722770621855,0.040063093327002246
young_educated,0.002657990819466527,0.0035530974,0.0025,0.0029036960628719514,-0.02954531020609679
political_experience,0.0010083812569560266,0.0048675705,0.002,0.0026253172438999565,0.011208818640223597
is_reserved_sc,0.0,0.0,0.0,0.0,0.0
